Installed Asset Serial Number,Ticket Number,Title,Status,Resources,Client,Installed Asset,Total Hours Worked,Contract,Priority,Created,Due,Billed Hours,Classification,Queue,Role
8KPLYD3,T20220104.0395,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,Complete,"Fox, Matthew (primary)",School District of Green Bay,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,0.50,Green Bay - ADP - Dell 3100 - $100,Low,01/04/2022 03:13 PM,01/17/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
P2045PNS,T20220104.0396,Lenovo 300e Gen 2 N4000 - 4GB/32GB - Dual Camera,Complete,"Saniter, Tanner (primary)",School District of Green Bay,Lenovo 300e Gen 2 N4000 - 4GB/32GB - Dual Camera,0.83,Green Bay - ADP - Lenovo 300e G2 - $100,Low,01/04/2022 03:14 PM,01/17/2022 11:00 PM,0.83,ChromeCare Client,Client Portal,Client Service Engineer L1
P2066MNJ,T20220104.0397,Lenovo 300e Gen 2 N4000 - 4GB/32GB - Dual Camera,Complete,"Yan, Jerry (primary)",School District of Green Bay,Lenovo 300e Gen 2 N4000 - 4GB/32GB - Dual Camera,0.75,Green Bay - ADP - Lenovo 300e G2 - $100,Low,01/04/2022 03:14 PM,01/17/2022 11:00 PM,0.75,ChromeCare Client,Client Portal,Client Service Engineer L1
375TYD3,T20220104.0398,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,Complete,"York, Laquell (primary)",School District of Green Bay,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,0.50,Green Bay - ADP - Dell 3100 - $100,Low,01/04/2022 03:14 PM,01/17/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
FV5NYD3,T20220104.0399,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,Complete,"Fox, Matthew (primary)",School District of Green Bay,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,0.58,Green Bay - ADP - Dell 3100 - $100,Low,01/04/2022 03:14 PM,01/17/2022 11:00 PM,0.58,ChromeCare Client,Client Portal,Client Service Engineer L1
7R3PYD3,T20220104.0400,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,Complete,"Fox, Matthew (primary)",School District of Green Bay,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,0.50,Green Bay - ADP - Dell 3100 - $100,Low,01/04/2022 03:14 PM,01/17/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
2M8PYD3,T20220114.0173,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,Complete,"Rosas-Soto, Alejandro (primary)",School District of Green Bay,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,0.50,Green Bay - ADP - Dell 3100 - $100,Low,01/14/2022 10:25 AM,01/27/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
C0CNYD3,T20220125.0478,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,Complete,"Fox, Matthew (primary)",School District of Green Bay,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,0.33,Green Bay - ADP - Dell 3100 - $100,Low,01/25/2022 02:44 PM,02/07/2022 11:00 PM,0.33,ChromeCare Client,Client Portal,Client Service Engineer L1
NXGULAA001816011067600,T20220127.0274,Acer C732T Chromebook,Complete,"McClain, Anastasia (primary)",School District of Menasha,Acer C732T Chromebook,0.25,Menasha - ADP - Acer C732T - $100,Low,01/27/2022 12:41 PM,02/09/2022 11:00 PM,0.25,ChromeCare Client,Client Portal,Client Service Engineer L1
K5NXCV11574822E,T20220202.0307,Asus C214MA Chromebook,Complete,"Jung, Paul (primary) | Nikolau, Lukas",School District of Gibraltar,Asus C214MA Chromebook,1.58,Gibraltar - ADP - Asus C214MA - $100,Low,02/02/2022 11:30 AM,02/15/2022 11:00 PM,1.58,ChromeCare Client,Client Portal,Client Service Engineer L1
NXGULAA0018160172C7600,T20220210.0324,Acer C732T Chromebook,Complete,"Saniter, Tanner (primary)",School District of Menasha,Acer C732T Chromebook,0.17,Menasha - ADP - Acer C732T - $100,Low,02/10/2022 12:08 PM,02/23/2022 11:00 PM,0.17,ChromeCare Client,Client Portal,Client Service Engineer L1
NXGULAA0018160140B7600,T20220217.0193,Acer C732T Chromebook,Complete,"York, Laquell (primary)",School District of Menasha,Acer C732T Chromebook,0.00,Menasha - ADP - Acer C732T - $100,Low,02/17/2022 11:06 AM,03/02/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
K5NXCV11623122A,T20220221.0031,Asus C214MA Chromebook,Complete,"Nikolau, Lukas (primary)",School District of Gibraltar,Asus C214MA Chromebook,1.33,Gibraltar - ADP - Asus C214MA - $100,Low,02/21/2022 08:43 AM,03/04/2022 11:00 PM,1.33,ChromeCare Client,Client Portal,Client Service Engineer L1
NXGULAA001816016AA7600,T20220223.0357,Acer C732T Chromebook,Complete,"Tarmann, Chris (primary)",School District of Menasha,Acer C732T Chromebook,0.33,Menasha - ADP - Acer C732T - $100,Low,02/23/2022 12:37 PM,03/08/2022 11:00 PM,0.33,ChromeCare Client,Client Portal,Client Service Engineer L1
5CD9258MHV,T20220224.0391,HP Chromebook 11a G6 EE 4GB/32GB - Touch,Waiting Parts,"Stanislawski, Peter (primary)",School District of Sheboygan Falls,HP Chromebook 11a G6 EE 4GB/32GB - Touch,2.33,Sheboygan Falls - ADP - HP 11A G6 EE - $50,Low,02/24/2022 01:45 PM,03/09/2022 11:00 PM,2.33,ChromeCare Client,Client Portal,Client Service Engineer L1
