Installed Asset Serial Number,Ticket Number,Title,Status,Resources,Client,Installed Asset,Total Hours Worked,Contract,Priority,Created,Due,Billed Hours,Classification,Queue,Role
26YLYD3,T20211213.0464,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,Waiting Repair,,School District of Green Bay,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,0.00,Green Bay - ADP - Dell 3100 - $100,Low,12/13/2021 01:48 PM,12/27/2021 11:00 PM,0.00,ChromeCare Client,Client Portal,
CP9MYD3,T20211217.0186,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,Waiting Repair,,School District of Green Bay,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,0.00,Green Bay - ADP - Dell 3100 - $100,Low,12/17/2021 10:38 AM,12/31/2021 11:00 PM,0.00,ChromeCare Client,Client Portal,
14ZNYD3,T20220103.0169,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,Waiting Repair,,School District of Green Bay,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,0.00,Green Bay - ADP - Dell 3100 - $100,Low,01/03/2022 11:14 AM,01/14/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
,T20220112.0258,Dell 3100 N4020 - 4GB/16GB - 1 USB Port,Complete,"Julsrud, Matthew (primary)",School District of Madison Metropolitan,,0.00,,Low,01/12/2022 11:20 AM,01/26/2022 12:00 AM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
,T20220112.0259,Dell 3100 N4020 - 4GB/16GB - 1 USB Port,Complete,"Julsrud, Matthew (primary)",School District of Madison Metropolitan,,0.00,,Low,01/12/2022 11:20 AM,01/26/2022 12:00 AM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
,T20220112.0260,Dell 3100 Chromebook N4000 - 4GB/16GB - 1 USB Port,Complete,"Julsrud, Matthew (primary)",School District of Madison Metropolitan,,0.00,,Low,01/12/2022 11:20 AM,01/26/2022 12:00 AM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
,T20220112.0261,Dell 3100 N4020 - 4GB/16GB - 1 USB Port,Complete,"Julsrud, Matthew (primary)",School District of Madison Metropolitan,,0.00,,Low,01/12/2022 11:20 AM,01/26/2022 12:00 AM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
,T20220112.0262,Dell 3100 N4020 - 4GB/16GB - 1 USB Port,Complete,"Julsrud, Matthew (primary)",School District of Madison Metropolitan,,0.00,,Low,01/12/2022 11:20 AM,01/26/2022 12:00 AM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
,T20220112.0263,Dell 3100 Chromebook N4000 - 4GB/16GB - 1 USB Port,Complete,"Julsrud, Matthew (primary)",School District of Madison Metropolitan,,0.00,,Low,01/12/2022 11:20 AM,01/26/2022 12:00 AM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
,T20220112.0264,Dell 3100 Chromebook N4000 - 4GB/16GB - 1 USB Port,Complete,"Julsrud, Matthew (primary)",School District of Madison Metropolitan,,0.00,,Low,01/12/2022 11:20 AM,01/26/2022 12:00 AM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
