Installed Asset Serial Number,Ticket Number,Title,Status,Resources,Client,Installed Asset,Total Hours Worked,Contract,Priority,Created,Due,Billed Hours,Classification,Queue,Role
NXHBRAA0019190C9767600,T20220114.0243,Acer R721T-28RM A4 - 4GB/32GB,Repaired,"Lenzke, Tyler (primary)",School District of Berwyn North 98,Acer R721T-28RM A4 - 4GB/32GB,0.25,Berwyn - ADP - Acer R721T - $100 ,Low,01/14/2022 11:22 AM,01/27/2022 11:00 PM,0.25,ChromeCare Client,Client Portal,Administration
5CD029JCZB,T20220303.0335,HP x360 14 i3-10110U - 8GB/64GB,Waiting Parts,"Jung, Paul (primary)",School District of CCSD 168,HP x360 14 i3-10110U - 8GB/64GB,0.00,CCSD 168 - ADP - HP x360 - $100,Low,03/03/2022 11:34 AM,03/17/2022 12:00 AM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
5CD0294F8R,T20220303.0337,HP x360 14 i3-10110U - 8GB/64GB,Waiting Parts,"Jung, Paul (primary)",School District of CCSD 168,HP x360 14 i3-10110U - 8GB/64GB,0.00,CCSD 168 - ADP - HP x360 - $100,Low,03/03/2022 11:34 AM,03/17/2022 12:00 AM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
5CD028K1GL,T20220304.0092,HP x360 14 i3-10110U - 8GB/64GB,Waiting Parts,"Jung, Paul (primary)",School District of CCSD 168,HP x360 14 i3-10110U - 8GB/64GB,0.00,CCSD 168 - ADP - HP x360 - $100,Low,03/04/2022 09:32 AM,03/18/2022 12:00 AM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
5CD028JXCT,T20220304.0093,HP x360 14 i3-10110U - 8GB/64GB,Waiting Parts,"Jung, Paul (primary)",School District of CCSD 168,HP x360 14 i3-10110U - 8GB/64GB,0.00,CCSD 168 - ADP - HP x360 - $100,Low,03/04/2022 09:32 AM,03/18/2022 12:00 AM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
K7NXCV05X27528B,T20220314.0176,Asus C214MA Chromebook,Waiting Verification,"Jung, Paul (primary)",School District of Alsip-Hazlgrn-Oaklawn 126,Asus C214MA Chromebook,0.92,Alsip - ADP - Asus C214 - No Ded,Low,03/14/2022 10:30 AM,03/25/2022 11:00 PM,0.92,ChromeCare Client,Client Portal,Client Service Engineer L1
5CD029GCJR,T20220317.0605,HP x360 14 i3-10110U - 8GB/64GB,Waiting Parts,"Jung, Paul (primary)",School District of CCSD 168,HP x360 14 i3-10110U - 8GB/64GB,0.00,CCSD 168 - ADP - HP x360 - $100,Low,03/17/2022 03:35 PM,03/30/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
5CD823BT8Y,T20220329.0117,HP Chromebook 11 G5 EE,In Progress,"Palicka, Curtis (primary)",School District of Two Rivers,HP Chromebook 11 G5 EE,0.52,Two Rivers - ADP - HP G5 EE - 21-22 - $100,Low,03/29/2022 09:30 AM,04/11/2022 11:00 PM,0.52,ChromeCare Client,Client Portal,Client Service Engineer L1
NXHPVAA003116303EE7611,T20220406.0556,Acer C933 N4120 - 4GB/32GB,Complete,"Peavey, Micheal (primary)",School District of Grenada,Acer C933 N4120 - 4GB/32GB,0.82,Grenada - ADP - Acer C933 - T&L - $100,Low,04/06/2022 02:40 PM,04/19/2022 11:00 PM,0.82,ChromeCare Client,Client Portal,Client Service Engineer L1
NXHPVAA0031163075C7611,T20220411.0080,Acer C933 N4120 - 4GB/32GB,Complete,"Peavey, Micheal (primary)",School District of Grenada,Acer C933 N4120 - 4GB/32GB,0.83,Grenada - ADP - Acer C933 - T&L - $100,Low,04/11/2022 08:48 AM,04/22/2022 11:00 PM,0.83,ChromeCare Client,Client Portal,Client Service Engineer L1
NXHPXAA0030170896F7600,T20220414.0194,Acer R752TN-C5J5 N4020 - 4GB/32GB - Stylus - Dual Camera,Waiting Parts,"Kundert, Austin (primary)",School District of Franklin,Acer R752TN-C5J5 N4020 - 4GB/32GB - Stylus - Dual Camera,0.00,Franklin - ADP - Acer R752TN-C5J5 - $100,Low,04/14/2022 10:39 AM,04/27/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
